# feature	class	assembly	assembly_unit	seq_type	chromosome	genomic_accession	start	end	strand	product_accession	non-redundant_refseq	related_accession	name	symbol	GeneID	locus_tag	feature_interval_length	product_length	attributes
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1586631	1586951	+							NELON_RS07895	321		
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1586631	1586951	+	WP_041961620.1	WP_041961620.1		hypothetical protein			NELON_RS07895	321	106	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1587037	1587609	-							NELON_RS07900	573		old_locus_tag=NELON_08335
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1587037	1587609	-	WP_041961449.1	WP_041961449.1		aminoacyl-tRNA hydrolase			NELON_RS07900	573	190	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1587617	1587907	-							NELON_RS07905	291		old_locus_tag=NELON_08340
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1587617	1587907	-	WP_003775511.1	WP_003775511.1		RnfH family protein			NELON_RS07905	291	96	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1587900	1588331	-							NELON_RS07910	432		old_locus_tag=NELON_08345
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1587900	1588331	-	WP_003775509.1	WP_003775509.1		ubiquinone-binding protein			NELON_RS07910	432	143	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1588445	1589491	-							NELON_RS07915	1047		old_locus_tag=NELON_08350
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1588445	1589491	-	WP_003775505.1	WP_003775505.1		microcin C ABC transporter permease YejB			NELON_RS07915	1047	348	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1589520	1589723	-							NELON_RS07920	204		old_locus_tag=NELON_08355
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1589520	1589723	-	WP_003775499.1	WP_003775499.1		DUF2788 domain-containing protein			NELON_RS07920	204	67	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1589859	1591028	-							NELON_RS07925	1170		old_locus_tag=NELON_08360
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1589859	1591028	-	WP_041961450.1	WP_041961450.1		O-succinylhomoserine sulfhydrylase			NELON_RS07925	1170	389	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1591164	1591841	-							NELON_RS07930	678		old_locus_tag=NELON_08365
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1591164	1591841	-	WP_003775493.1	WP_003775493.1		lipoprotein-releasing system ATP-binding protein LolD			NELON_RS07930	678	225	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1591834	1593084	-							NELON_RS07935	1251		old_locus_tag=NELON_08370
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1591834	1593084	-	WP_041961621.1	WP_041961621.1		lipoprotein-releasing system transmembrane subunit LolC			NELON_RS07935	1251	416	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1593252	1594187	+							NELON_RS07940	936		old_locus_tag=NELON_08375
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1593252	1594187	+	WP_003775488.1	WP_003775488.1		tRNA 2-thiocytidine(32) synthetase TtcA			NELON_RS07940	936	311	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1594365	1595153	-							NELON_RS07945	789		old_locus_tag=NELON_08380
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1594365	1595153	-	WP_003775484.1	WP_003775484.1		RNA methyltransferase			NELON_RS07945	789	262	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1595577	1596854	-							NELON_RS07950	1278		old_locus_tag=NELON_08385
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1595577	1596854	-	WP_003775479.1	WP_003775479.1		O-acetylhomoserine aminocarboxypropyltransferase			NELON_RS07950	1278	425	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1597047	1599812	-							NELON_RS07955	2766		old_locus_tag=NELON_08390
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1597047	1599812	-	WP_041961451.1	WP_041961451.1		DNA gyrase subunit A			NELON_RS07955	2766	921	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1600341	1600556	+							NELON_RS11770	216		
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1600341	1600556	+	WP_082019644.1	WP_082019644.1		hypothetical protein			NELON_RS11770	216	71	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1600630	1600953	+							NELON_RS07965	324		old_locus_tag=NELON_08400
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1600630	1600953	+	WP_003775470.1	WP_003775470.1		protein-tyrosine-phosphatase			NELON_RS07965	324	107	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1601046	1601585	-							NELON_RS07970	540		old_locus_tag=NELON_08405
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1601046	1601585	-	WP_040666537.1	WP_040666537.1		NlpC/P60 family protein			NELON_RS07970	540	179	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1601672	1602637	-							NELON_RS07975	966		old_locus_tag=NELON_08410
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1601672	1602637	-	WP_003775466.1	WP_003775466.1		PhoH family protein			NELON_RS07975	966	321	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1602815	1603312	+							NELON_RS07980	498		old_locus_tag=NELON_08415
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1602815	1603312	+	WP_003775464.1	WP_003775464.1		2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase			NELON_RS07980	498	165	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1603424	1604074	+							NELON_RS07985	651		old_locus_tag=NELON_08420
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1603424	1604074	+	WP_040666530.1	WP_040666530.1		deoxyguanosine kinase			NELON_RS07985	651	216	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1604081	1604869	+							NELON_RS07990	789		old_locus_tag=NELON_08425
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1604081	1604869	+	WP_041961452.1	WP_041961452.1		3-methyl-2-oxobutanoate hydroxymethyltransferase			NELON_RS07990	789	262	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1605048	1605869	+							NELON_RS07995	822		old_locus_tag=NELON_08430
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1605048	1605869	+	WP_003775458.1	WP_003775458.1		bifunctional DNA-formamidopyrimidine glycosylase/DNA-(apurinic or apyrimidinic site) lyase			NELON_RS07995	822	273	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1605967	1606356	-							NELON_RS08000	390		old_locus_tag=NELON_08435
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1605967	1606356	-	WP_040666529.1	WP_040666529.1		RidA family protein			NELON_RS08000	390	129	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1606793	1607800	+							NELON_RS08005	1008		old_locus_tag=NELON_08440
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1606793	1607800	+	WP_041961453.1	WP_041961453.1		IS5 family transposase			NELON_RS08005	1008	335	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1607769	1608209	-							NELON_RS11775	441		
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1607769	1608209	-	WP_082019645.1	WP_082019645.1		DUF3883 domain-containing protein			NELON_RS11775	441	146	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1608225	1608653	-							NELON_RS08010	429		old_locus_tag=NELON_08445
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1608225	1608653	-	WP_041961454.1	WP_041961454.1		DUF3578 domain-containing protein			NELON_RS08010	429	142	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1608719	1609027	-							NELON_RS08015	309		old_locus_tag=NELON_08450
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1608719	1609027	-	WP_041961455.1	WP_041961455.1		DUF3578 domain-containing protein			NELON_RS08015	309	102	
gene	pseudogene	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1609263	1609610	+							NELON_RS08020	348		partial;pseudo
CDS	without_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1609263	1609610	+				IS30 family transposase			NELON_RS08020	348		partial;pseudo
gene	pseudogene	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1609731	1610120	-							NELON_RS08025	390		partial;pseudo;old_locus_tag=NELON_08460
CDS	without_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1609731	1610120	-				hypothetical protein			NELON_RS08025	390		partial;pseudo
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1610177	1610365	-							NELON_RS11780	189		
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1610177	1610365	-	WP_003775737.1	WP_003775737.1		hypothetical protein			NELON_RS11780	189	62	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1610369	1610698	-							NELON_RS08030	330		old_locus_tag=NELON_08465
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1610369	1610698	-	WP_003775734.1	WP_003775734.1		topoisomerase			NELON_RS08030	330	109	
gene	rRNA	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1610950	1611063	-					rrf		NELON_RS08035	114		old_locus_tag=NELON_08470
rRNA		GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1610950	1611063	-				5S ribosomal RNA	rrf		NELON_RS08035	114		
gene	rRNA	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1611155	1614052	-							NELON_RS08040	2898		old_locus_tag=NELON_08475
rRNA		GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1611155	1614052	-				23S ribosomal RNA			NELON_RS08040	2898		
gene	tRNA	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1614403	1614478	-							NELON_RS08045	76		old_locus_tag=NELON_08480
tRNA		GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1614403	1614478	-				tRNA-Ala			NELON_RS08045	76		anticodon=TGC
gene	tRNA	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1614528	1614604	-							NELON_RS08050	77		old_locus_tag=NELON_08485
tRNA		GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1614528	1614604	-				tRNA-Ile			NELON_RS08050	77		anticodon=GAT
gene	rRNA	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1614659	1616209	-							NELON_RS08055	1551		old_locus_tag=NELON_08490
rRNA		GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1614659	1616209	-				16S ribosomal RNA			NELON_RS08055	1551		
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1616537	1618519	-							NELON_RS08060	1983		old_locus_tag=NELON_08495
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1616537	1618519	-	WP_041961457.1	WP_041961457.1		DUF3488 domain-containing protein			NELON_RS08060	1983	660	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1618636	1619583	-							NELON_RS08065	948		old_locus_tag=NELON_08500
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1618636	1619583	-	WP_040665714.1	WP_040665714.1		DUF58 domain-containing protein			NELON_RS08065	948	315	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1619567	1620478	-							NELON_RS08070	912		old_locus_tag=NELON_08505
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1619567	1620478	-	WP_040665713.1	WP_040665713.1		MoxR family ATPase			NELON_RS08070	912	303	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1620580	1621338	-							NELON_RS08075	759		old_locus_tag=NELON_08510
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1620580	1621338	-	WP_003770802.1	WP_003770802.1		ABC transporter ATP-binding protein			NELON_RS08075	759	252	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1621421	1622392	-							NELON_RS08080	972		old_locus_tag=NELON_08515
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1621421	1622392	-	WP_041961458.1	WP_041961458.1		iron ABC transporter permease			NELON_RS08080	972	323	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1622409	1623377	-							NELON_RS08085	969		old_locus_tag=NELON_08520
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1622409	1623377	-	WP_003770798.1	WP_003770798.1		iron ABC transporter permease			NELON_RS08085	969	322	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1623566	1624531	-							NELON_RS08090	966		old_locus_tag=NELON_08525
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1623566	1624531	-	WP_003770795.1	WP_003770795.1		iron ABC transporter substrate-binding protein			NELON_RS08090	966	321	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1624939	1625322	+							NELON_RS08095	384		old_locus_tag=NELON_08530
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1624939	1625322	+	WP_003770792.1	WP_003770792.1		epimerase			NELON_RS08095	384	127	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1625350	1625820	+							NELON_RS08100	471		old_locus_tag=NELON_08535
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1625350	1625820	+	WP_003770789.1	WP_003770789.1		DUF2269 domain-containing protein			NELON_RS08100	471	156	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1625871	1626284	+							NELON_RS08105	414		old_locus_tag=NELON_08540
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1625871	1626284	+	WP_003770786.1	WP_003770786.1		DUF393 domain-containing protein			NELON_RS08105	414	137	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1626281	1626658	+							NELON_RS08110	378		old_locus_tag=NELON_08545
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1626281	1626658	+	WP_003770784.1	WP_003770784.1		hypothetical protein			NELON_RS08110	378	125	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1626686	1627099	+							NELON_RS08115	414		old_locus_tag=NELON_08550
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1626686	1627099	+	WP_003770783.1	WP_003770783.1		hypothetical protein			NELON_RS08115	414	137	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1627268	1628065	+							NELON_RS08120	798		old_locus_tag=NELON_08555
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1627268	1628065	+	WP_003770780.1	WP_003770780.1		hypothetical protein			NELON_RS08120	798	265	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1628298	1629137	+							NELON_RS08125	840		old_locus_tag=NELON_08560
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1628298	1629137	+	WP_041961459.1	WP_041961459.1		epimerase			NELON_RS08125	840	279	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1629475	1629663	-							NELON_RS11785	189		
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1629475	1629663	-	WP_081456095.1	WP_081456095.1		hypothetical protein			NELON_RS11785	189	62	
gene	pseudogene	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1629703	1629963	-							NELON_RS08130	261		partial;pseudo
CDS	without_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1629703	1629963	-				phage tail protein			NELON_RS08130	261		partial;pseudo
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1629976	1630539	-							NELON_RS08135	564		old_locus_tag=NELON_08570
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1629976	1630539	-	WP_003773441.1	WP_003773441.1		DUF2313 domain-containing protein			NELON_RS08135	564	187	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1630536	1631042	-							NELON_RS08140	507		old_locus_tag=NELON_08575
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1630536	1631042	-	WP_081456094.1	WP_081456094.1		hypothetical protein			NELON_RS08140	507	168	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1631017	1632198	-							NELON_RS08145	1182		old_locus_tag=NELON_08580
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1631017	1632198	-	WP_003773438.1	WP_003773438.1		hypothetical protein			NELON_RS08145	1182	393	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1632202	1632486	-							NELON_RS08150	285		old_locus_tag=NELON_08585
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1632202	1632486	-	WP_003773436.1	WP_003773436.1		hypothetical protein			NELON_RS08150	285	94	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1632617	1633252	-							NELON_RS08155	636		old_locus_tag=NELON_08590
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1632617	1633252	-	WP_003773435.1	WP_003773435.1		hypothetical protein			NELON_RS08155	636	211	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1633249	1633452	-							NELON_RS08160	204		old_locus_tag=NELON_08595
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1633249	1633452	-	WP_003773432.1	WP_003773432.1		hypothetical protein			NELON_RS08160	204	67	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1633514	1633768	-							NELON_RS11790	255		
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1633514	1633768	-	WP_003773430.1	WP_003773430.1		transcriptional regulator			NELON_RS11790	255	84	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1634003	1634758	+							NELON_RS08165	756		old_locus_tag=NELON_08600
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1634003	1634758	+	WP_003773425.1	WP_003773425.1		phage repressor protein C			NELON_RS08165	756	251	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1635498	1636757	-							NELON_RS08170	1260		
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1635498	1636757	-	WP_040666097.1	WP_040666097.1		3-deoxy-D-manno-octulosonic acid transferase			NELON_RS08170	1260	419	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1636819	1637058	-							NELON_RS11795	240		
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1636819	1637058	-	WP_081456090.1	WP_081456090.1		hypothetical protein			NELON_RS11795	240	79	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1637148	1637879	-							NELON_RS08175	732		old_locus_tag=NELON_08610
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1637148	1637879	-	WP_003773212.1	WP_003773212.1		DNA-binding response regulator			NELON_RS08175	732	243	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1638121	1638507	+							NELON_RS08180	387		old_locus_tag=NELON_08615
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1638121	1638507	+	WP_003773210.1	WP_003773210.1		cupin domain-containing protein			NELON_RS08180	387	128	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1638621	1639487	-							NELON_RS08185	867		
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1638621	1639487	-	WP_041961461.1	WP_041961461.1		16S rRNA (cytidine(1402)-2'-O)-methyltransferase			NELON_RS08185	867	288	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1639695	1640042	+							NELON_RS08190	348		old_locus_tag=NELON_08625
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1639695	1640042	+	WP_003773543.1	WP_003773543.1		YraN family protein			NELON_RS08190	348	115	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1640048	1640641	+							NELON_RS08195	594		old_locus_tag=NELON_08630
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1640048	1640641	+	WP_003773546.1	WP_003773546.1		phosphoheptose isomerase			NELON_RS08195	594	197	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1640799	1641941	+							NELON_RS08200	1143		old_locus_tag=NELON_08635
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1640799	1641941	+	WP_003773549.1	WP_003773549.1		class I SAM-dependent RNA methyltransferase			NELON_RS08200	1143	380	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1642075	1642812	+							NELON_RS08205	738		old_locus_tag=NELON_08640
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1642075	1642812	+	WP_003773551.1	WP_003773551.1		rRNA pseudouridine synthase			NELON_RS08205	738	245	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1642815	1643081	+							NELON_RS08210	267		
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1642815	1643081	+	WP_040666170.1	WP_040666170.1		hypothetical protein			NELON_RS08210	267	88	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1643181	1643531	+							NELON_RS08215	351		
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1643181	1643531	+	WP_081456099.1	WP_081456099.1		hypothetical protein			NELON_RS08215	351	116	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1643702	1645393	+							NELON_RS08220	1692		old_locus_tag=NELON_08650
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1643702	1645393	+	WP_003773557.1	WP_003773557.1		glutamine--tRNA ligase/YqeY domain fusion protein			NELON_RS08220	1692	563	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1645375	1645998	+							NELON_RS08225	624		old_locus_tag=NELON_08655
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1645375	1645998	+	WP_003773560.1	WP_003773560.1		hypothetical protein			NELON_RS08225	624	207	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1646036	1646521	-							NELON_RS08230	486		old_locus_tag=NELON_08660
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1646036	1646521	-	WP_040666171.1	WP_040666171.1		hypothetical protein			NELON_RS08230	486	161	
gene	pseudogene	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1646537	1646809	+							NELON_RS08235	273		partial;pseudo;old_locus_tag=NELON_08665
CDS	without_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1646537	1646809	+				glutamine--tRNA ligase			NELON_RS08235	273		partial;pseudo
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1646893	1647795	+							NELON_RS08240	903		old_locus_tag=NELON_08670
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1646893	1647795	+	WP_003773566.1	WP_003773566.1		EamA/RhaT family transporter			NELON_RS08240	903	300	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1647856	1648149	-							NELON_RS08245	294		old_locus_tag=NELON_08675
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1647856	1648149	-	WP_003773569.1	WP_003773569.1		DUF2288 domain-containing protein			NELON_RS08245	294	97	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1648441	1649196	+							NELON_RS08250	756		old_locus_tag=NELON_08680
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1648441	1649196	+	WP_040666191.1	WP_040666191.1		metal ABC transporter ATP-binding protein			NELON_RS08250	756	251	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1649281	1650156	+							NELON_RS08255	876		old_locus_tag=NELON_08685
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1649281	1650156	+	WP_040666193.1	WP_040666193.1		metal ABC transporter permease			NELON_RS08255	876	291	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1650279	1651175	+							NELON_RS08260	897		old_locus_tag=NELON_08690
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1650279	1651175	+	WP_040666172.1	WP_040666172.1		ABC transporter substrate-binding protein			NELON_RS08260	897	298	
gene	protein_coding	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1651544	1652281	+							NELON_RS08265	738		old_locus_tag=NELON_08695
CDS	with_protein	GCF_000818035.1	Primary Assembly	chromosome		NZ_CP007726.1	1651544	1652281	+	WP_041961462.1	WP_041961462.1		methionine ABC transporter ATP-binding protein			NELON_RS08265	738	245	
